Dish Name	Ingredients Used	Price	Time Consumed	Menu Group
FoodA_0LJMX	fish, flour, broccoli, carrot	261.66	37	Main Course
FoodA_DAR91	flour, carrot, onion, lentils	1121.02	37	Dessert
FoodA_OV3JI	capsicum, flour, butter, lentils	224.6	28	Non-Veg
FoodA_MU9H2	yogurt, corn, cream, basil	425.31	5	Beverage
FoodA_PHELC	paneer, capsicum, broccoli, onion	833.69	23	Combo
FoodA_TLL6A	carrot, onion, potato, tomato	1033.11	10	Non-Veg
FoodA_MESKN	mushroom, rice, spinach, tomato	697.54	6	Veg
FoodA_521FR	noodles, onion, flour, rice	689.83	30	Veg
FoodA_CEGHI	rice, milk, beef, corn	1182.93	44	Veg
FoodA_2VQAY	garlic, chicken, cheese, onion	1145.38	34	Veg
FoodA_ARNER	onion, beef, tomato, paneer	1018.3	45	Main Course
FoodA_OOH39	paneer, onion, cream, tomato	751.84	20	Beverage
FoodA_47VZ3	spinach, oregano, beef, lentils	1000.84	31	Starter
FoodA_1BDTW	tomato, pepper, basil, mushroom	409.84	38	Beverage
FoodA_WKE3W	carrot, beef, milk, spinach	854.79	24	Non-Veg
FoodA_2D9MY	beef, spinach, milk, oregano	1059.83	28	Dessert
FoodA_9OAFL	broccoli, milk, spinach, oregano	660.75	7	Dessert
FoodA_U1OWZ	onion, cheese, yogurt, carrot	1017.43	20	Beverage
FoodA_C469L	milk, chicken, carrot, noodles	1114.98	21	Beverage
FoodA_X634Y	cream, milk, capsicum, mushroom	1050.97	10	Dessert
FoodA_6W5U7	butter, flour, potato, spinach	763.56	7	Veg
FoodA_Z37WL	egg, lentils, pepper, milk	599.98	6	Veg
FoodA_LA8Q5	broccoli, cream, mushroom, carrot	753.82	29	Starter
FoodA_TFV77	carrot, cream, capsicum, cheese	217.81	21	Main Course
FoodA_GESLV	mushroom, cream, corn, milk	153.46	7	Main Course
FoodA_6Q8JF	tomato, basil, cheese, potato	885.89	14	Dessert
FoodA_DSOK6	beef, broccoli, capsicum, fish	522.63	32	Combo
FoodA_8HW1Q	cream, broccoli, flour, beef	1133.85	34	Non-Veg
FoodA_2MLZC	beef, butter, yogurt, fish	1003.62	31	Dessert
FoodA_SS27A	potato, corn, rice, yogurt	467.81	17	Starter
FoodA_YF2LJ	milk, butter, corn, fish	577.32	42	Non-Veg
FoodA_WBLEN	milk, egg, basil, onion	959.73	6	Combo
FoodA_66MJG	spinach, flour, milk, capsicum	146.23	10	Beverage
FoodA_E949T	beef, broccoli, paneer, tomato	117.94	43	Combo
FoodA_TVCQU	oregano, milk, egg, noodles	971.62	26	Starter
FoodA_A79UE	cheese, egg, basil, fish	734.06	30	Dessert
FoodA_68FW2	mushroom, lentils, paneer, spinach	1113.45	16	Beverage
FoodA_5YSQH	carrot, spinach, oregano, chicken	796.96	43	Non-Veg
FoodA_JMOY2	chicken, butter, garlic, fish	160.01	27	Starter
FoodA_ZUPQ9	potato, pepper, cream, oregano	885.79	12	Main Course
FoodA_BBAAU	broccoli, cheese, tomato, milk	571.52	44	Dessert
FoodA_FNL9N	yogurt, onion, rice, spinach	464.81	26	Veg
FoodA_WE85C	yogurt, egg, carrot, potato	573.84	23	Veg
FoodA_87HA8	garlic, cheese, beef, tomato	795.58	30	Non-Veg
FoodA_U7RAA	carrot, flour, basil, cream	629.85	25	Beverage
FoodA_0IQMH	flour, corn, pepper, noodles	766.06	29	Beverage
FoodA_4X2PF	fish, tomato, oregano, garlic	260.81	14	Dessert
FoodA_90WZ0	beef, fish, flour, yogurt	754.96	27	Combo
FoodA_RYB0Q	oregano, yogurt, pepper, garlic	244.16	7	Veg
FoodA_ZIF1S	cheese, pepper, carrot, egg	808.7	35	Beverage
FoodA_IDCTW	paneer, onion, egg, milk	816.96	39	Non-Veg
FoodA_BTETD	potato, broccoli, rice, garlic	229.89	25	Veg
FoodA_ZAI8Z	corn, butter, garlic, cream	1010.65	13	Non-Veg
FoodA_4THKR	yogurt, rice, cheese, capsicum	979.46	18	Veg
FoodA_RN2LW	oregano, potato, cheese, garlic	1106.25	28	Combo
FoodA_6W4SW	egg, onion, rice, beef	336.18	28	Dessert
FoodA_VZFGY	paneer, garlic, tomato, fish	761.67	33	Main Course
FoodA_59PL4	rice, egg, cream, capsicum	951.16	27	Main Course
FoodA_BVW46	beef, broccoli, noodles, pepper	1009.97	15	Starter
FoodA_OJ68I	egg, tomato, butter, chicken	1031.23	12	Veg
FoodA_GBX7O	cream, egg, oregano, onion	438.86	25	Combo
FoodA_H6MPT	spinach, butter, noodles, potato	102.36	35	Main Course
FoodA_3WXNE	spinach, mushroom, fish, pepper	800.51	12	Combo
FoodA_K49MF	onion, butter, yogurt, mushroom	1112.28	27	Starter
FoodA_2NIV3	spinach, egg, noodles, capsicum	1049.7	14	Beverage
FoodA_YU4XV	egg, garlic, spinach, yogurt	169.8	36	Non-Veg
FoodA_W54Q7	paneer, rice, beef, cream	604.73	45	Main Course
FoodA_09P20	cheese, pepper, milk, corn	376.24	26	Main Course
FoodA_3H5K5	tomato, mushroom, oregano, capsicum	864.62	21	Main Course
FoodA_QS8WN	chicken, milk, broccoli, pepper	924.43	45	Combo
FoodA_9B3LH	egg, corn, basil, chicken	1135.68	35	Beverage
FoodA_4BE74	yogurt, corn, rice, onion	594.36	33	Veg
FoodA_YTZPA	cheese, lentils, cream, flour	908.7	18	Main Course
FoodA_1SYL7	spinach, carrot, milk, butter	1076.68	12	Starter
FoodA_CE72R	paneer, onion, milk, corn	570.8	11	Starter
FoodA_H0Z4S	garlic, beef, paneer, capsicum	601.35	25	Combo
FoodA_731JZ	paneer, pepper, lentils, spinach	529.29	25	Non-Veg
FoodA_CQIVJ	potato, beef, egg, butter	160.3	11	Non-Veg
FoodA_WWC24	oregano, potato, chicken, carrot	815.16	37	Starter
FoodA_GK8ZF	milk, fish, potato, spinach	848.83	17	Combo
FoodA_WHJDP	tomato, capsicum, mushroom, flour	896.09	29	Starter
FoodA_MNGTF	fish, basil, rice, milk	432.32	39	Starter
FoodA_OLQC0	egg, noodles, capsicum, basil	193.96	34	Veg
FoodA_HJD56	noodles, paneer, onion, butter	726.82	44	Beverage
FoodA_PS2QN	mushroom, corn, capsicum, butter	267.17	8	Veg
FoodA_7MEKO	carrot, corn, milk, tomato	170.15	33	Starter
FoodA_N41M3	spinach, yogurt, corn, carrot	1060.74	33	Non-Veg
FoodA_N0SEP	broccoli, egg, fish, butter	169	27	Main Course
FoodA_RYX0I	tomato, oregano, rice, corn	931.08	41	Dessert
FoodA_2PSRL	basil, pepper, cheese, garlic	754.52	9	Starter
FoodA_GEC0C	yogurt, rice, fish, capsicum	474.88	20	Main Course
FoodA_MGD2A	cheese, chicken, lentils, mushroom	164	23	Combo
FoodA_O7SFW	corn, basil, yogurt, potato	757.71	16	Veg
FoodA_HCV1U	oregano, pepper, carrot, broccoli	183.87	16	Veg
FoodA_FDCE6	cheese, tomato, yogurt, pepper	164.24	45	Main Course
FoodA_JIUUM	cream, potato, capsicum, yogurt	166.32	45	Non-Veg
FoodA_WC7JA	oregano, carrot, potato, paneer	734.4	29	Main Course
FoodA_SWJ9Q	carrot, flour, milk, capsicum	153.9	18	Main Course
FoodA_JJSCZ	noodles, fish, cheese, potato	933.29	34	Veg
FoodA_KEOA6	paneer, cream, garlic, beef	951.65	33	Main Course
FoodA_096RQ	pepper, spinach, broccoli, flour	756.78	35	Dessert
FoodA_X28MS	milk, spinach, basil, oregano	503.97	42	Non-Veg
FoodA_QL4SX	broccoli, cheese, pepper, beef	773.51	35	Starter
FoodA_QB8WG	chicken, yogurt, butter, garlic	1063.01	31	Veg
FoodA_VELCI	onion, yogurt, paneer, flour	302.18	8	Dessert
FoodA_D607N	basil, pepper, tomato, milk	219.31	16	Veg
FoodA_B56IU	yogurt, egg, corn, spinach	507.73	18	Main Course
FoodA_4OBTM	capsicum, corn, potato, basil	152.1	26	Non-Veg
FoodA_PGHGK	lentils, onion, corn, yogurt	943.8	9	Non-Veg
FoodA_N3WXE	chicken, capsicum, paneer, cheese	250.6	12	Beverage
FoodA_1YHCB	garlic, cream, spinach, pepper	775.27	29	Veg
FoodA_R433O	butter, rice, basil, chicken	776.27	41	Dessert
FoodA_6M45M	tomato, yogurt, fish, mushroom	996.41	24	Veg
FoodA_M71DZ	onion, cheese, pepper, beef	558.84	24	Non-Veg
FoodA_LAJIG	beef, oregano, milk, flour	955.63	26	Beverage
FoodA_K00U6	cheese, mushroom, potato, rice	740.27	41	Dessert
FoodA_HHD0T	spinach, egg, carrot, cream	273.29	26	Dessert
FoodA_8QRH7	butter, mushroom, chicken, milk	885.81	32	Dessert
FoodA_P8PN1	flour, spinach, chicken, oregano	788.45	12	Combo
FoodA_NU9UC	yogurt, corn, paneer, broccoli	791.58	21	Starter
FoodA_O3470	cheese, tomato, corn, lentils	1021.72	13	Main Course
FoodA_32Y63	spinach, lentils, fish, beef	947.7	39	Beverage
FoodA_FK6O1	cream, noodles, corn, butter	559.87	40	Combo
FoodA_E029Z	noodles, oregano, paneer, capsicum	822.31	31	Dessert
FoodA_74EFO	butter, beef, fish, chicken	708.75	34	Beverage
FoodA_GR8AB	broccoli, pepper, oregano, fish	384.68	36	Veg
FoodA_QE2RT	milk, yogurt, rice, garlic	627.81	21	Non-Veg
FoodA_2H05K	butter, onion, broccoli, pepper	131.59	25	Beverage
FoodA_KCG20	cream, paneer, milk, garlic	469.34	25	Veg
FoodA_SNHMG	egg, yogurt, lentils, carrot	823.55	20	Beverage
FoodA_V7SB3	beef, tomato, paneer, capsicum	824.48	42	Non-Veg
FoodA_Z898C	milk, egg, lentils, rice	1000.68	21	Non-Veg
FoodA_GAECH	pepper, tomato, egg, rice	829.48	20	Veg
FoodA_POF80	butter, oregano, carrot, broccoli	740.91	26	Main Course
FoodA_0XJRE	pepper, tomato, cheese, potato	1052.2	12	Main Course
FoodA_IJH0W	spinach, yogurt, mushroom, beef	368.35	20	Non-Veg
FoodA_757CI	capsicum, onion, tomato, flour	741.5	9	Veg
FoodA_ZGY1E	lentils, basil, noodles, cheese	658.25	11	Veg
FoodA_QOCGL	cheese, noodles, milk, onion	406.22	16	Non-Veg
FoodA_RLWKK	spinach, milk, mushroom, rice	1007.53	31	Non-Veg
FoodA_K3USW	basil, chicken, oregano, spinach	424.83	43	Starter
FoodA_OT8ZT	oregano, beef, onion, carrot	177.85	13	Dessert
FoodA_BGHK6	rice, carrot, onion, tomato	524.82	14	Beverage
FoodA_VX115	flour, milk, yogurt, oregano	1069.4	18	Veg
FoodA_FLFH0	basil, potato, beef, milk	989.17	10	Beverage
FoodA_YGJ0K	corn, carrot, pepper, egg	355.43	26	Combo
FoodA_C8BXQ	chicken, beef, egg, lentils	320.76	17	Veg
FoodA_TBH7V	mushroom, carrot, garlic, onion	517.29	14	Combo
FoodA_ZOP16	potato, mushroom, chicken, yogurt	979.9	41	Non-Veg
FoodA_GYM9M	chicken, garlic, noodles, cream	454.86	45	Non-Veg
FoodA_RHOB6	corn, rice, onion, egg	943.78	34	Non-Veg
FoodA_FWS87	flour, tomato, mushroom, capsicum	868.3	41	Beverage
FoodA_FFG0E	rice, garlic, flour, basil	334.02	21	Main Course
FoodA_PJZZF	cheese, fish, cream, oregano	954.57	16	Dessert
FoodA_ZHFUK	carrot, garlic, cheese, egg	1165.41	29	Main Course
FoodA_COH51	broccoli, chicken, cheese, potato	306.35	45	Dessert
FoodA_Y3LEC	butter, corn, mushroom, capsicum	477.6	31	Dessert
FoodA_3PYHK	garlic, broccoli, flour, spinach	406.67	19	Combo
FoodA_G0UCV	oregano, yogurt, chicken, mushroom	943.24	16	Beverage
FoodA_SUY1R	cream, tomato, egg, lentils	1138.83	42	Main Course
FoodA_K11MM	cream, chicken, egg, capsicum	1160.95	41	Starter
FoodA_DB06Y	paneer, pepper, butter, potato	660.34	14	Dessert
FoodA_96MCR	noodles, paneer, carrot, fish	811.58	8	Starter
FoodA_2WVWA	yogurt, spinach, lentils, pepper	733.69	21	Starter
FoodA_1K96N	garlic, pepper, oregano, potato	774.2	12	Combo
FoodA_ME950	paneer, pepper, onion, carrot	1086.61	7	Veg
FoodA_WGK6F	potato, noodles, onion, mushroom	283.04	45	Non-Veg
FoodA_B6T85	paneer, carrot, spinach, garlic	691.46	12	Main Course
FoodA_YEMJ6	lentils, chicken, capsicum, basil	648.38	20	Beverage
FoodA_I9MMQ	cheese, lentils, egg, butter	275.11	27	Combo
FoodA_JGIN3	basil, fish, cheese, corn	1079.82	30	Non-Veg
FoodA_TYY83	paneer, potato, tomato, broccoli	1160.6	38	Dessert
FoodA_RH8IM	butter, flour, oregano, tomato	949.96	22	Veg
FoodA_IXMPH	basil, broccoli, tomato, yogurt	1175.29	6	Main Course
FoodA_74G2F	paneer, beef, chicken, garlic	427.15	30	Dessert
FoodA_WI3DY	lentils, egg, basil, capsicum	1139.94	5	Non-Veg
FoodA_ODP16	cream, milk, egg, cheese	289.88	23	Main Course
FoodA_T4I09	spinach, mushroom, potato, cheese	374.27	17	Main Course
FoodA_E7DV7	onion, fish, garlic, carrot	637.89	15	Combo
FoodA_NJLNU	broccoli, mushroom, beef, cheese	550.17	7	Dessert
FoodA_HH2PI	cheese, flour, capsicum, milk	130.21	31	Dessert
FoodA_IYPRI	potato, capsicum, spinach, cheese	635.4	39	Combo
FoodA_8NSPR	noodles, basil, rice, paneer	486.3	34	Veg
FoodA_CXVMN	oregano, potato, rice, lentils	879.46	36	Non-Veg
FoodA_5OXAX	yogurt, cheese, rice, tomato	1026.3	44	Starter
FoodA_LSQYY	noodles, chicken, spinach, corn	222.26	16	Starter
FoodA_8VDZH	cream, tomato, mushroom, potato	910.29	13	Starter
FoodA_BTLKJ	pepper, cheese, chicken, capsicum	706.39	30	Starter
FoodA_OH82U	oregano, butter, mushroom, spinach	949.33	43	Main Course
