Dish Name	Ingredients Used	Price	Time Consumed	Menu Group
FoodB_3PYLF	broccoli, potato, tomato, mushroom	350.11	7	Main Course
FoodB_HBFUY	chicken, rice, butter, broccoli	911.35	17	Combo
FoodB_9HL2M	spinach, carrot, mushroom, oregano	1135.27	43	Beverage
FoodB_2GUHC	flour, beef, chicken, basil	238.29	26	Beverage
FoodB_AR8CJ	pepper, beef, chicken, potato	766.33	35	Veg
FoodB_IGEXE	basil, carrot, garlic, oregano	1060.75	41	Starter
FoodB_CB7JQ	mushroom, chicken, cream, basil	185.45	14	Beverage
FoodB_751VC	chicken, milk, oregano, beef	104.8	18	Dessert
FoodB_E6V1L	milk, cheese, broccoli, beef	1173.36	37	Beverage
FoodB_6S93D	yogurt, basil, fish, carrot	795.2	18	Dessert
FoodB_G7DLI	lentils, butter, cheese, garlic	273.89	12	Starter
FoodB_PBIEH	mushroom, cheese, noodles, milk	378.39	29	Main Course
FoodB_9G9KK	cream, pepper, spinach, yogurt	117.7	26	Starter
FoodB_MJ4FU	egg, noodles, cheese, carrot	596.98	44	Main Course
FoodB_KE1Z8	butter, egg, beef, yogurt	217.71	41	Beverage
FoodB_0Y311	carrot, mushroom, potato, noodles	914.26	14	Beverage
FoodB_7ZTC2	lentils, yogurt, basil, butter	523.61	29	Combo
FoodB_K0MLJ	butter, mushroom, flour, beef	456.19	12	Starter
FoodB_CDF8P	cheese, basil, potato, lentils	790.23	9	Veg
FoodB_VSUL1	capsicum, pepper, cream, onion	455.31	12	Main Course
FoodB_0XFY4	lentils, cream, butter, mushroom	607.41	9	Main Course
FoodB_8DIYP	tomato, onion, butter, rice	1037.44	38	Dessert
FoodB_LUQH9	lentils, pepper, paneer, noodles	888.86	6	Starter
FoodB_2W988	mushroom, lentils, egg, carrot	996.78	32	Non-Veg
FoodB_QPTTA	milk, cream, beef, flour	993.55	7	Beverage
FoodB_QED8W	rice, mushroom, flour, pepper	744.78	32	Non-Veg
FoodB_3R378	rice, potato, corn, egg	321.36	29	Beverage
FoodB_FZBUW	noodles, spinach, yogurt, cheese	600.44	36	Combo
FoodB_1WQZD	garlic, mushroom, corn, rice	871.91	41	Dessert
FoodB_MFVK2	noodles, fish, yogurt, flour	323.51	28	Combo
FoodB_MOURN	beef, yogurt, basil, potato	984.73	32	Combo
FoodB_S9Z8C	noodles, lentils, paneer, yogurt	244.89	12	Starter
FoodB_QWS04	potato, cheese, beef, spinach	1015.98	12	Main Course
FoodB_KVF91	yogurt, rice, pepper, broccoli	254.18	37	Veg
FoodB_FD1VP	basil, potato, broccoli, spinach	593.99	5	Beverage
FoodB_RQE6I	fish, oregano, basil, pepper	648.32	14	Starter
FoodB_22BC5	butter, tomato, noodles, rice	762.62	40	Beverage
FoodB_73YAK	potato, egg, cream, tomato	1158.49	7	Non-Veg
FoodB_629LM	oregano, spinach, yogurt, cream	761.94	10	Beverage
FoodB_2S6BW	carrot, yogurt, spinach, paneer	506.91	16	Veg
FoodB_OVHY2	potato, milk, cream, garlic	186.78	29	Dessert
FoodB_UIWC5	mushroom, flour, spinach, noodles	1165.89	24	Starter
FoodB_RHFNU	noodles, yogurt, fish, potato	758.87	24	Veg
FoodB_OE60Y	basil, broccoli, garlic, onion	501.11	23	Combo
FoodB_851J2	chicken, garlic, pepper, flour	108.34	41	Dessert
FoodB_ZMY24	corn, egg, fish, pepper	143.73	14	Beverage
FoodB_1GSE3	potato, egg, butter, onion	254.78	21	Combo
FoodB_0N932	potato, milk, spinach, paneer	1097.84	11	Combo
FoodB_5G9IO	garlic, potato, egg, yogurt	734.97	28	Main Course
FoodB_UGSDS	lentils, onion, cheese, spinach	460	45	Dessert
FoodB_43LO9	paneer, spinach, egg, butter	467.95	11	Non-Veg
FoodB_WBAKV	pepper, spinach, rice, oregano	153.81	33	Combo
FoodB_APCBJ	cream, cheese, beef, potato	620.02	12	Main Course
FoodB_PIPTH	mushroom, carrot, paneer, broccoli	1151.49	42	Combo
FoodB_XL5JJ	oregano, egg, beef, basil	622.32	42	Dessert
FoodB_PZDED	corn, butter, flour, basil	896.75	19	Combo
FoodB_2RPCG	fish, paneer, tomato, cheese	973.3	7	Veg
FoodB_AT7QQ	milk, rice, garlic, potato	1184.81	18	Dessert
FoodB_B8TA8	cream, pepper, tomato, spinach	332.14	31	Combo
FoodB_WXM3M	chicken, pepper, garlic, potato	1107.95	40	Main Course
FoodB_525KC	yogurt, cheese, pepper, cream	803.94	34	Main Course
FoodB_Q662U	corn, egg, tomato, carrot	232.69	9	Non-Veg
FoodB_ELG4A	milk, carrot, capsicum, noodles	537.05	32	Beverage
FoodB_76QOE	noodles, garlic, cheese, flour	977.63	8	Combo
FoodB_Y93QD	tomato, basil, rice, cheese	244.76	21	Starter
FoodB_4C12K	spinach, pepper, onion, chicken	764.43	41	Veg
FoodB_WUSET	cream, beef, egg, noodles	484.93	28	Starter
FoodB_E0JP9	butter, pepper, beef, mushroom	1059.96	25	Beverage
